,competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo,Descrição
10585481,202207,3,35,355030,K,6613400,1,212205,101,5,39.0,40.0,1,1,0,1,97,0,0,0,14307.0,7,0,1,202207,0,5,14307.0,Engenheiro de Aplicativos em Computacao
10585483,202207,3,35,355030,J,6319400,-1,212205,101,8,29.0,44.0,1,1,0,1,40,0,0,9,17500.0,10,0,1,202207,0,5,17500.0,Engenheiro de Aplicativos em Computacao
10585486,202207,3,35,355030,J,6311900,1,212205,101,5,32.0,48.0,1,1,0,1,97,0,0,0,21538.46,8,0,1,202207,0,5,21538.46,Engenheiro de Aplicativos em Computacao
10585487,202207,3,35,355030,J,6209100,1,212205,101,5,28.0,40.0,1,3,0,1,97,0,0,0,15940.0,10,0,1,202207,0,5,15940.0,Engenheiro de Aplicativos em Computacao
10585489,202207,3,35,355030,J,6201501,1,212205,101,7,39.0,44.0,1,1,0,1,97,0,0,9,32000.0,9,0,1,202207,0,5,32000.0,Engenheiro de Aplicativos em Computacao
10585491,202207,3,35,355030,J,6209100,1,212205,101,5,32.0,44.0,1,1,0,1,97,0,0,9,15900.0,10,0,1,202207,0,5,15900.0,Engenheiro de Aplicativos em Computacao
10585492,202207,3,35,355030,M,7490104,1,212205,101,5,20.0,44.0,2,1,0,1,97,0,0,0,9200.0,8,0,1,202207,0,5,9200.0,Engenheiro de Aplicativos em Computacao
10585493,202207,3,35,355030,J,6209100,1,212205,101,5,30.0,40.0,1,3,0,1,97,0,0,0,15949.2,10,0,1,202207,0,5,15949.2,Engenheiro de Aplicativos em Computacao
10585494,202207,3,35,355030,N,7810800,1,212205,101,5,32.0,40.0,2,1,0,1,97,0,0,0,31000.0,6,0,1,202207,0,5,31000.0,Engenheiro de Aplicativos em Computacao
10585495,202207,3,35,355030,J,6203100,-1,212205,101,3,24.0,40.0,1,1,0,1,40,0,0,0,12000.0,5,0,1,202207,0,5,12000.0,Engenheiro de Aplicativos em Computacao
10585496,202207,3,35,355030,J,6110801,-1,212205,101,3,28.0,40.0,1,1,0,1,40,0,0,0,18229.56,7,0,1,202207,0,5,18229.56,Engenheiro de Aplicativos em Computacao
10585497,202207,3,35,355030,G,4763602,-1,212205,101,3,23.0,44.0,1,1,0,1,40,0,0,0,7470.0,10,0,1,202207,0,5,7470.0,Engenheiro de Aplicativos em Computacao
10585505,202207,3,35,355030,M,7319002,1,212205,101,5,36.0,44.0,1,1,0,1,97,0,0,9,41309.5,3,0,1,202207,0,5,41309.5,Engenheiro de Aplicativos em Computacao
10585506,202207,3,35,355030,K,6619399,1,212205,101,4,31.0,44.0,3,1,0,1,97,0,0,0,11867.37,10,0,1,202207,0,5,11867.37,Engenheiro de Aplicativos em Computacao
10585507,202207,3,35,355030,J,6319400,-1,212205,101,5,29.0,44.0,3,1,0,1,40,0,0,9,13066.62,9,0,1,202207,0,5,13066.62,Engenheiro de Aplicativos em Computacao
10585508,202207,3,35,355030,J,6209100,1,212205,101,8,41.0,44.0,1,3,0,1,97,0,0,9,15949.2,10,0,1,202207,0,5,15949.2,Engenheiro de Aplicativos em Computacao
10585509,202207,3,35,355030,M,7020400,1,212205,101,5,25.0,40.0,1,1,0,1,97,0,0,0,16000.0,6,0,1,202207,0,5,16000.0,Engenheiro de Aplicativos em Computacao
10585510,202207,3,35,355030,J,6311900,1,212205,101,8,46.0,48.0,1,1,0,1,97,0,0,0,26307.69,8,0,1,202207,0,5,26307.69,Engenheiro de Aplicativos em Computacao
10585513,202207,3,35,355030,K,6436100,1,212205,101,2,27.0,44.0,1,1,0,1,97,0,0,9,21000.0,6,0,1,202207,0,5,21000.0,Engenheiro de Aplicativos em Computacao
10585515,202207,3,35,355030,J,6311900,1,212205,101,5,24.0,40.0,6,3,0,1,97,0,0,0,8000.0,6,0,1,202207,0,5,8000.0,Engenheiro de Aplicativos em Computacao
10585516,202207,3,35,355030,J,6203100,1,212205,101,8,44.0,40.0,1,1,0,1,97,0,0,0,22500.0,9,0,1,202207,0,5,22500.0,Engenheiro de Aplicativos em Computacao
10585517,202207,3,35,355030,G,4693100,1,212205,101,5,40.0,44.0,1,1,0,1,97,0,0,0,12000.0,8,0,1,202207,0,5,12000.0,Engenheiro de Aplicativos em Computacao
10585519,202207,3,35,355030,J,6203100,1,212205,101,5,24.0,40.0,1,1,0,1,97,0,0,0,11112.5,9,0,1,202207,0,5,11112.5,Engenheiro de Aplicativos em Computacao
10585524,202207,3,35,355030,J,6209100,1,212205,101,6,33.0,40.0,3,3,0,1,97,0,0,0,18402.92,10,0,1,202207,0,5,18402.92,Engenheiro de Aplicativos em Computacao
10585525,202207,3,35,355030,J,6319400,1,212205,101,5,23.0,44.0,4,1,0,1,97,0,0,9,16000.0,10,0,1,202207,0,5,16000.0,Engenheiro de Aplicativos em Computacao
10585528,202207,3,35,355030,G,4763602,1,212205,101,4,23.0,44.0,3,1,0,1,97,0,0,0,15000.0,10,0,1,202207,0,5,15000.0,Engenheiro de Aplicativos em Computacao
10585533,202207,3,35,355030,L,6821801,-1,212205,101,5,36.0,56.0,3,1,0,1,31,0,0,0,14338.91,7,0,1,202207,0,5,14338.91,Engenheiro de Aplicativos em Computacao
10585534,202207,3,35,355030,G,4763602,1,212205,101,4,25.0,44.0,1,1,0,1,97,0,0,0,12842.0,10,0,1,202207,0,5,12842.0,Engenheiro de Aplicativos em Computacao
