,Unnamed: 0,competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo,Descrição
587,2445542,202207,3,35,355030,G,4781400,-1,212420,101,9,33.0,40.0,2,1,0,1,40,0,0,0,4696.0,7,0,1,202207,0,5,4696.0,Analista de Suporte Computacional
588,2445543,202207,3,35,355030,S,9511800,-1,212420,101,9,40.0,36.0,6,1,0,1,31,0,0,0,1746.27,9,0,1,202207,0,5,1746.27,Analista de Suporte Computacional
589,2445544,202207,3,35,355030,J,6201501,-1,212420,101,9,19.0,40.0,6,3,0,1,40,0,0,0,2125.11,5,0,1,202207,0,5,2125.11,Analista de Suporte Computacional
590,2445546,202207,3,35,355030,J,6201501,1,212420,101,9,42.0,40.0,1,1,0,1,97,0,0,0,7000.0,10,0,1,202207,0,5,7000.0,Analista de Suporte Computacional
591,2445551,202207,3,35,355030,J,6204000,-1,212420,101,9,53.0,40.0,6,1,0,1,40,0,0,0,2033.6,10,0,1,202207,0,5,2033.6,Analista de Suporte Computacional
592,2445552,202207,3,35,355030,J,6204000,1,212420,101,8,21.0,40.0,4,1,0,1,97,0,0,0,14119.62,9,0,1,202207,0,5,14119.62,Analista de Suporte Computacional
593,2445554,202207,3,35,355030,J,6209100,-1,212420,101,10,41.0,44.0,1,1,0,1,31,1,0,0,5569.15,10,0,1,202207,0,5,5569.15,Analista de Suporte Computacional
594,2445556,202207,3,35,355030,J,6204000,-1,212420,101,9,25.0,40.0,6,1,0,1,31,0,0,0,12543.03,6,0,1,202207,0,5,12543.03,Analista de Suporte Computacional
595,2445561,202207,3,35,355030,J,6203100,-1,212420,101,8,28.0,40.0,3,1,0,1,40,0,0,0,1620.0,5,0,1,202207,0,5,1620.0,Analista de Suporte Computacional
596,2445564,202207,3,35,355030,J,6209100,1,212420,101,7,30.0,40.0,6,1,0,1,97,0,0,0,2033.6,3,0,1,202207,0,5,2033.6,Analista de Suporte Computacional
597,2445565,202207,3,35,355030,J,6311900,-1,212420,101,9,36.0,40.0,4,1,0,1,40,0,0,0,16470.35,9,0,1,202207,0,5,16470.35,Analista de Suporte Computacional
598,2445566,202207,3,35,355030,G,4669999,1,212420,101,7,23.0,40.0,1,1,0,1,97,0,0,0,1510.0,7,0,1,202207,0,5,1510.0,Analista de Suporte Computacional
599,2445569,202207,3,35,355030,J,6204000,-1,212420,101,8,31.0,40.0,1,1,0,1,40,0,0,0,2033.6,10,0,1,202207,0,5,2033.6,Analista de Suporte Computacional
600,2445571,202207,3,35,355030,J,6311900,1,212420,101,9,31.0,40.0,3,1,0,1,97,0,0,0,4000.0,9,0,1,202207,0,5,4000.0,Analista de Suporte Computacional
601,2445574,202207,3,35,355030,J,6209100,-1,212420,101,9,29.0,40.0,3,1,0,1,40,0,0,0,5097.45,4,0,1,202207,0,5,5097.45,Analista de Suporte Computacional
